PLC3_InputRegisters_IW0,PLC3_MemoryRegisters_MW1,PLC3_Coils_QX00,PLC1_InputRegisters_IW0,PLC1_MemoryRegisters_MW0,PLC1_MemoryRegisters_MW1,PLC1_Coils_QX00,PLC1_Coils_QX01,PLC1_Coils_QX02,PLC2_InputRegisters_IW0,PLC2_MemoryRegisters_MW0,PLC2_MemoryRegisters_MW1,PLC2_Coils_QX00,prev_PLC3_InputRegisters_IW0,prev_PLC3_Coils_QX00,prev_PLC1_InputRegisters_IW0,prev_PLC1_Coils_QX00,prev_PLC1_Coils_QX01,prev_PLC1_Coils_QX02,prev_PLC2_InputRegisters_IW0,prev_PLC2_Coils_QX00,tmp
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,251
1,10,0,53,40,80,0,0,0,15,10,20,0,1,0,53,0,0,0,15,0,252
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,15,0,253
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,254
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,255
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,256
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,257
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,258
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,259
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,260
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,261
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,262
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,263
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,264
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,265
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,266
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,267
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,268
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,269
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,270
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,271
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,272
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,273
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,274
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,275
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,276
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,277
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,278
1,10,0,53,40,80,0,0,0,14,10,20,0,1,0,53,0,0,0,14,0,279
