A,B,C,D,E,F,G,H,I,J
1764362406.8308525,66,False,False,False,15,False,2,False,False
1764362410.5520914,66,False,False,False,15,False,2,False,False
1764362414.7686622,66,False,False,False,14,False,2,False,False
1764362420.0854478,66,False,False,False,14,False,2,False,False
1764362423.610823,66,False,False,False,13,False,2,False,False
1764362426.9117165,66,False,False,False,13,False,2,False,False
1764362430.6131132,66,False,False,False,12,False,2,False,False
1764362434.8464398,66,False,False,False,12,False,2,False,False
1764362438.2695525,66,False,False,False,11,False,2,False,False
1764362441.1002002,66,False,False,False,11,False,2,False,False
1764362446.0091515,66,False,False,False,10,True,2,False,False
1764362449.9998045,65,False,True,True,13,True,0,False,False
1764362454.4124885,63,False,True,True,15,True,0,False,False
1764362459.41537,61,False,True,True,17,True,0,False,False
1764362462.1955423,59,False,True,True,17,True,0,False,False
1764362466.000445,57,False,True,True,19,True,0,False,False
1764362468.5678546,56,False,True,True,20,False,0,False,False
1764362471.9189472,54,False,True,True,21,False,0,False,False
1764362475.7182884,53,False,False,False,21,False,0,False,False
1764362479.684355,53,False,False,False,20,False,0,False,False
1764362483.0680368,53,False,False,False,20,False,0,False,False
1764362488.3069232,53,False,False,False,19,False,1,False,False
1764362493.315825,53,False,False,False,18,False,1,False,False
1764362497.185993,53,False,False,False,18,False,1,False,False
1764362501.4041572,53,False,False,False,17,False,1,False,False
1764362505.0043995,53,False,False,False,16,False,1,False,False
1764362509.9405415,53,False,False,False,16,False,1,False,False
1764362514.7213643,53,False,False,False,15,False,1,False,False
1764362517.898706,53,False,False,False,15,False,1,False,False
1764362522.1635313,53,False,False,False,14,False,1,False,False
1764362526.737825,53,False,False,False,13,False,1,False,False
1764362531.6520457,53,False,False,False,13,False,1,False,False
1764362535.8516564,53,False,False,False,12,False,1,False,False
1764362540.0245514,53,False,False,False,12,False,1,False,False
1764362544.1415663,53,False,False,False,11,False,1,False,False
1764362549.4246993,53,False,False,False,11,True,1,False,False
1764362553.7300997,53,False,True,True,10,True,1,False,False
1764362559.5331385,51,False,True,True,12,True,2,False,False
1764362563.218147,49,False,True,True,13,True,2,False,False
1764362567.67431,47,False,True,True,15,True,2,False,False
1764362571.6645124,45,False,True,True,16,True,2,False,False
1764362577.255711,43,False,True,True,17,True,2,False,False
1764362580.0507605,42,False,True,True,18,True,2,False,False
1764362583.2065823,40,True,True,True,19,True,2,False,False
1764362587.5870214,41,True,True,True,20,False,2,False,False
1764362592.0461426,44,True,False,False,20,False,2,False,False
1764362596.2014508,46,True,False,False,19,False,2,False,False
1764362601.4938524,50,True,False,False,18,False,2,False,False
1764362606.524325,53,True,False,False,17,False,2,False,False
1764362611.4172451,56,True,False,False,17,False,2,False,False
1764362615.7925348,59,True,False,False,16,False,2,False,False
1764362622.1517332,63,True,False,False,15,False,2,False,False
1764362626.910165,67,True,False,False,16,False,1,True,False
1764362630.4276707,68,True,False,False,17,False,0,False,False
1764362633.4667723,70,True,False,False,16,False,0,False,False
1764362637.6184447,73,True,False,False,16,False,0,False,False
1764362642.5184562,76,True,False,False,15,False,0,False,False
1764362647.6431038,80,False,False,False,14,False,0,False,False
