A,B,C,D,E,F,G,H,I,J,K,L
2809,14807,15768,12183,11918,18742,12562,17852,12185,11886,18697,True
2817,14794,15816,12168,11901,18694,12611,17953,12154,11860,18778,True
2825,14790,15859,12169,11894,18722,12664,17870,12175,11870,18690,True
2833,14784,15842,12178,11897,18667,12711,17787,12204,11879,18771,True
2841,14766,15853,12182,11902,18732,12763,17903,12160,11858,18707,True
2849,14753,15883,12185,11893,18730,12799,17938,12154,11848,18711,True
2857,14742,15878,12191,11901,18716,12840,17949,12146,11838,18742,True
2865,14733,15871,12196,11903,18768,12883,17932,12152,11835,18695,True
2873,14720,15901,12195,11899,18733,12938,17808,12191,11858,18748,True
2881,14692,15845,12226,11929,18814,13008,17815,12191,11869,18786,True
2889,14669,15845,12234,11926,18712,13040,17773,12207,11875,18715,True
2897,14649,15944,12209,11902,18692,13089,17764,12206,11871,18693,True
2905,14638,16041,12174,11883,18690,13130,17882,12167,11842,18683,True
2913,14629,16051,12178,11886,18691,13174,17744,12213,11876,18724,True
2921,14614,15924,12230,11920,18679,13229,17837,12184,11858,18681,True
2929,14602,16081,12178,11887,18783,13262,17812,12186,11855,18752,True
2937,14584,16029,12202,11911,18694,13315,17844,12196,11880,18711,True
2945,14531,16102,12182,11903,18775,13398,17828,12201,11887,18722,True
2953,14507,16109,12186,11911,18722,13445,17855,12194,11885,18825,True
2961,14486,16080,12199,11920,18743,13495,17972,12153,11864,18713,True
2969,14458,16048,12225,11941,18698,13581,17802,12214,11910,18688,True
2977,14426,16157,12183,11931,18766,13645,17942,12165,11892,18729,True
2985,14394,16116,12200,11942,18814,13682,17994,12146,11876,18793,True
2993,14368,16154,12189,11936,18760,13720,17801,12209,11929,18735,True
3001,14346,16155,12187,11945,18796,13767,17976,12159,11898,18781,True
3009,14313,16174,12178,11945,18730,13802,17849,12198,11931,18747,True
3017,14290,16187,12183,11952,18784,13847,17848,12196,11933,18830,True
3025,14261,16089,12213,11980,18789,13909,17817,12189,11942,18708,True
3033,14231,16120,12200,11978,18710,13970,17762,12211,11966,18729,True
3041,14219,16227,12164,11950,18819,13999,17719,12225,11974,18726,True
3049,14196,16174,12179,11962,18713,14026,17971,12144,11921,18789,True
3057,14168,16094,12199,11984,18767,14082,17931,12153,11932,18770,True
3065,14143,16074,12210,11996,18717,14131,17812,12187,11964,18706,True
3073,14117,16109,12191,11988,18778,14176,17929,12154,11949,18766,True
3081,14090,16064,12197,11997,18698,14210,17813,12193,11978,18719,True
