timestamp,PLC1_IR0,PLC1_IR1,PLC1_IR2,PLC1_IR3,PLC1_IR4,PLC1_IR5,PLC1_C0,PLC1_C1,PLC1_C2,PLC1_C3,PLC1_C4,PLC1_C5,PLC1_C6,PLC1_DR0,PLC1_DR1,PLC1_DR2,PLC1_DR3,PLC1_DR4,PLC1_DR5,PLC2_IR0,PLC2_IR1,PLC2_IR2,PLC2_IR3,PLC2_IR4,PLC2_IR5,PLC2_C0,PLC2_C1,PLC2_C2,PLC2_C3,PLC2_C4,PLC2_C5,PLC2_C6,PLC2_C7,PLC2_C10,PLC2_DR0,PLC2_DR1,PLC2_DR2,PLC2_DR3,PLC2_DR4,PLC2_DR5
1768573316.81821,26266,19558,15498,12179,11958,18778,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14337,17894,12178,11973,18822,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573317.3837965,26266,19556,15556,12164,11944,18771,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14320,17921,12163,11966,18823,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573317.9556696,26266,19556,15556,12164,11944,18771,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14303,17903,12180,11970,18836,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573318.6605606,26266,19555,15499,12184,11954,18756,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14303,17903,12180,11970,18836,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573319.3774323,26266,19553,15555,12163,11939,18787,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14286,17941,12168,11966,18800,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573319.9912727,26266,19553,15555,12163,11939,18787,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14286,17941,12168,11966,18800,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573321.1266356,26266,19551,15490,12194,11962,18836,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14252,17922,12169,11965,18775,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573321.9102657,26266,19543,15515,12188,11964,18847,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14234,17918,12165,11959,18754,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573322.51117,26266,19543,15515,12188,11964,18847,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14234,17918,12165,11959,18754,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573322.9264832,26266,19538,15540,12184,11960,18863,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14216,17863,12188,11976,18840,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573323.6148915,26266,19538,15540,12184,11960,18863,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14196,17923,12168,11968,18838,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573324.1892014,26266,19534,15550,12175,11946,18841,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14196,17923,12168,11968,18838,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573324.6013222,26266,19534,15550,12175,11946,18841,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14196,17923,12168,11968,18838,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
